Nom,SKU ID,Description Marketing,Image,Fournisseur,Product ID,Plan ID,GUID,Facturation,Engagement,Apps incluses,Apps type,Prix
Microsoft Defender for Endpoint N9,Microsoft-Defender-for-Endpoi-n9,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n22,,Annuel,,,,
Microsoft Defender for Endpoint N11,Microsoft-Defender-for-Endpo-n11,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n24,,Mensuel,,,,
Microsoft Defender for Endpoint N11,Microsoft-Defender-for-Endpo-n11,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n24,,Annuel,,,,
Microsoft Defender Vulnerability N1,Microsoft-Defender-Vulnerabil-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n25,,Mensuel,,,,
Microsoft Defender Vulnerability N1,Microsoft-Defender-Vulnerabil-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n25,,Annuel,,,,
Microsoft Defender Vulnerability N2,Microsoft-Defender-Vulnerabil-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n26,,Mensuel,,,,
Microsoft Defender Vulnerability N2,Microsoft-Defender-Vulnerabil-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n26,,Annuel,,,,
Microsoft Defender for Endpoint N12,Microsoft-Defender-for-Endpo-n12,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n27,,Annuel,,,,
Microsoft Defender for Endpoint N12,Microsoft-Defender-for-Endpo-n12,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n27,,Mensuel,,,,
Microsoft Azure Plan,Standard-B-Series,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSAZURE-isvfr,Standard-B2S,,Mensuel,,,,
Microsoft Entra ID  Basic,Azure-Active-Directory-Basic-for,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Monthly-Plan,,Mensuel,,,,
Microsoft Entra ID  Basic,Azure-Active-Directory-Basic-for,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Annual-Plan,,Annuel,,,,
